Match Number,Round Number,Date,Location,Home Team,Away Team,Result
128,15,15/12/2024 16:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,
129,15,15/12/2024 16:00,Stade Océane,Havre Athletic Club,RC Strasbourg Alsace,
134,15,15/12/2024 16:00,Roazhon Park,Stade Rennais FC,Angers SCO,
132,15,15/12/2024 19:45,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,
141,16,18/12/2024 20:00,Stade Louis II,AS Monaco,Paris Saint-Germain,
136,16,04/01/2025 23:00,Stade Raymond Kopa,Angers SCO,Stade Brestois 29,
137,16,04/01/2025 23:00,Stade Bollaert-Delelis,RC Lens,Toulouse FC,
138,16,04/01/2025 23:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,FC Nantes,
139,16,04/01/2025 23:00,Groupama Stadium,Olympique Lyonnais,Montpellier Hérault SC,
140,16,04/01/2025 23:00,Orange Vélodrome,Olympique de Marseille,Havre Athletic Club,
142,16,04/01/2025 23:00,Allianz Riviera,OGC Nice,Stade Rennais FC,
143,16,04/01/2025 23:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Stade DE Reims,
144,16,04/01/2025 23:00,Stade de la Meinau,RC Strasbourg Alsace,AJ Auxerre,
145,17,11/01/2025 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,LOSC Lille,
146,17,11/01/2025 23:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique Lyonnais,
147,17,11/01/2025 23:00,Stade Océane,Havre Athletic Club,RC Lens,
148,17,11/01/2025 23:00,Stade de la Mosson,Montpellier Hérault SC,Angers SCO,
149,17,11/01/2025 23:00,Stade de la Beaujoire,FC Nantes,AS Monaco,
150,17,11/01/2025 23:00,Parc des Princes,Paris Saint-Germain,AS Saint-Étienne,
151,17,11/01/2025 23:00,Stade Auguste Delaune,Stade DE Reims,OGC Nice,
152,17,11/01/2025 23:00,Roazhon Park,Stade Rennais FC,Olympique de Marseille,
153,17,11/01/2025 23:00,Stadium Municipal,Toulouse FC,RC Strasbourg Alsace,
154,18,18/01/2025 23:00,Stade Raymond Kopa,Angers SCO,AJ Auxerre,
155,18,18/01/2025 23:00,Stade Bollaert-Delelis,RC Lens,Paris Saint-Germain,
